title,poster_url,genres
Up,Up.jpg,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family']"
Monsters vs. Aliens,Monsters vs. Aliens.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
Iron Man,Iron Man.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Hugo,Hugo.jpg,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Mystery']"
Wild Wild West,Wild Wild West.jpg,"['Action', 'Comedy', 'Sci-Fi', 'Western']"
The Mummy: Tomb of the Dragon Emperor,The Mummy: Tomb of the Dragon Emperor.jpg,"['Action', 'Adventure', 'Fantasy', 'Horror']"
Suicide Squad,Suicide Squad.jpg,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
Evan Almighty,Evan Almighty.jpg,"['Comedy', 'Family', 'Fantasy']"
Edge of Tomorrow,Edge of Tomorrow.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Waterworld,Waterworld.jpg,"['Action', 'Adventure', 'Sci-Fi']"
G.I. Joe: The Rise of Cobra,G.I. Joe: The Rise of Cobra.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Inside Out,Inside Out.jpg,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']"
The Jungle Book,The Jungle Book.jpg,"['Animation', 'Action', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Musical']"
Iron Man 2,Iron Man 2.jpg,"['Action', 'Sci-Fi']"
Snow White and the Huntsman,Snow White and the Huntsman.jpg,"['Action', 'Adventure', 'Biography', 'Drama', 'Fantasy', 'Romance', 'Sci-Fi', 'Thriller', 'War']"
Maleficent,Maleficent.jpg,"['Action', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Romance']"
Dawn of the Planet of the Apes,Dawn of the Planet of the Apes.jpg,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']"
The Lovers,The Lovers.jpg,"['Action', 'Adventure', 'Romance', 'Sci-Fi']"
47 Ronin,47 Ronin.jpg,"['Action', 'Drama', 'Fantasy']"
Captain America: The Winter Soldier,Captain America: The Winter Soldier.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Shrek Forever After,Shrek Forever After.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']"
Tomorrowland,Tomorrowland.jpg,"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery', 'Sci-Fi']"
Big Hero 6,Big Hero 6.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Crime', 'Family', 'Sci-Fi']"
Wreck-It Ralph,Wreck-It Ralph.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi', 'Sport']"
The Polar Express,The Polar Express.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']"
Independence Day: Resurgence,Independence Day: Resurgence.jpg,"['Action', 'Adventure', 'Sci-Fi']"
How to Train Your Dragon,How to Train Your Dragon.jpg,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy']"
Terminator 3: Rise of the Machines,Terminator 3: Rise of the Machines.jpg,"['Action', 'Sci-Fi']"
Guardians of the Galaxy,Guardians of the Galaxy.jpg,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
Interstellar,Interstellar.jpg,"['Adventure', 'Drama', 'Sci-Fi']"
Inception,Inception.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Shin Godzilla,Shin Godzilla.jpg,"['Action', 'Drama', 'Horror', 'Sci-Fi']"
The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey.jpg,"['Adventure', 'Fantasy']"
The Fast and the Furious,The Fast and the Furious.jpg,"['Action', 'Crime', 'Thriller']"
The Curious Case of Benjamin Button,The Curious Case of Benjamin Button.jpg,"['Drama', 'Fantasy', 'Romance']"
X-Men: First Class,X-Men: First Class.jpg,"['Action', 'Sci-Fi']"
The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 2.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
The Sorcerer's Apprentice,The Sorcerer's Apprentice.jpg,"['Action', 'Adventure', 'Family', 'Fantasy']"
Poseidon,Poseidon.jpg,"['Action', 'Adventure', 'Thriller']"
Alice Through the Looking Glass,Alice Through the Looking Glass.jpg,"['Adventure', 'Family', 'Fantasy', 'Mystery']"
Shrek the Third,Shrek the Third.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']"
Warcraft,Warcraft.jpg,"['Action', 'Adventure', 'Fantasy']"
Terminator Genisys,Terminator Genisys.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: The Voyage of the Dawn Treader.jpg,"['Adventure', 'Family', 'Fantasy']"
Pearl Harbor,Pearl Harbor.jpg,"['Action', 'Drama', 'Romance', 'War']"
Transformers,Transformers.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Alexander,Alexander.jpg,"['Action', 'Biography', 'Drama', 'History', 'War']"
Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix.jpg,"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']"
Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire.jpg,"['Adventure', 'Family', 'Fantasy', 'Mystery']"
Hancock,Hancock.jpg,"['Action', 'Comedy', 'Drama', 'Fantasy']"
I Am Legend,I Am Legend.jpg,"['Action', 'Drama', 'Horror', 'Sci-Fi', 'Thriller']"
Charlie and the Chocolate Factory,Charlie and the Chocolate Factory.jpg,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']"
Ratatouille,Ratatouille.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Batman Begins,Batman Begins.jpg,"['Action', 'Crime', 'Drama']"
Madagascar: Escape 2 Africa,Madagascar: Escape 2 Africa.jpg,"['Animation', 'Adventure', 'Comedy', 'Family']"
Night at the Museum: Battle of the Smithsonian,Night at the Museum: Battle of the Smithsonian.jpg,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
X-Men Origins: Wolverine,X-Men Origins: Wolverine.jpg,"['Action', 'Sci-Fi']"
The Matrix Revolutions,The Matrix Revolutions.jpg,"['Action', 'Sci-Fi']"
Frozen,Frozen.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']"
The Matrix Reloaded,The Matrix Reloaded.jpg,"['Action', 'Sci-Fi']"
Thor: The Dark World,Thor: The Dark World.jpg,"['Action', 'Adventure', 'Fantasy']"
Mad Max: Fury Road,Mad Max: Fury Road.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Angels & Demons,Angels & Demons.jpg,"['Action', 'Mystery', 'Thriller']"
Thor,Thor.jpg,"['Action', 'Fantasy']"
Bolt,Bolt.jpg,"['Animation', 'Adventure', 'Comedy', 'Crime', 'Drama', 'Family', 'Sci-Fi']"
G-Force,G-Force.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
Wrath of the Titans,Wrath of the Titans.jpg,"['Action', 'Adventure', 'Fantasy']"
Dark Shadows,Dark Shadows.jpg,"['Comedy', 'Fantasy', 'Horror']"
Mission: Impossible - Rogue Nation,Mission: Impossible - Rogue Nation.jpg,"['Action', 'Adventure', 'Thriller']"
The Wolfman,The Wolfman.jpg,"['Drama', 'Fantasy', 'Horror', 'Thriller']"
Bee Movie,Bee Movie.jpg,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family']"
Kung Fu Panda 2,Kung Fu Panda 2.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']"
The Last Airbender,The Last Airbender.jpg,"['Action', 'Adventure', 'Family', 'Fantasy']"
Mission: Impossible III,Mission: Impossible III.jpg,"['Action', 'Adventure', 'Thriller']"
White House Down,White House Down.jpg,"['Action', 'Drama', 'Thriller']"
Mars Needs Moms,Mars Needs Moms.jpg,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi']"
Flushed Away,Flushed Away.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Romance']"
Pan,Pan.jpg,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Mr. Peabody & Sherman,Mr. Peabody & Sherman.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'History', 'Sci-Fi']"
Troy,Troy.jpg,"['Adventure', 'Drama']"
Madagascar 3: Europe's Most Wanted,Madagascar 3: Europe's Most Wanted.jpg,"['Animation', 'Adventure', 'Comedy', 'Family']"
Die Another Day,Die Another Day.jpg,"['Action', 'Adventure', 'Thriller']"
Ghostbusters,Ghostbusters.jpg,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']"
Armageddon,Armageddon.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Men in Black II,Men in Black II.jpg,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Sci-Fi']"
Beowulf,Beowulf.jpg,"['Animation', 'Action', 'Adventure', 'Fantasy']"
Kung Fu Panda 3,Kung Fu Panda 3.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol.jpg,"['Action', 'Adventure', 'Thriller']"
Rise of the Guardians,Rise of the Guardians.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']"
Fun with Dick and Jane,Fun with Dick and Jane.jpg,"['Comedy', 'Crime']"
The Last Samurai,The Last Samurai.jpg,"['Action', 'Drama']"
Exodus: Gods and Kings,Exodus: Gods and Kings.jpg,"['Action', 'Adventure', 'Drama', 'Fantasy']"
Star Trek,Star Trek.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Spider-Man,Spider-Man.jpg,"['Action', 'Adventure', 'Sci-Fi']"
How to Train Your Dragon 2,How to Train Your Dragon 2.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Gods of Egypt,Gods of Egypt.jpg,"['Action', 'Adventure', 'Drama', 'Fantasy']"
Stealth,Stealth.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Watchmen,Watchmen.jpg,"['Action', 'Drama', 'Mystery', 'Sci-Fi']"
Lethal Weapon 4,Lethal Weapon 4.jpg,"['Action', 'Crime', 'Thriller']"
Hulk,Hulk.jpg,"['Action', 'Sci-Fi']"
G.I. Joe: Retaliation,G.I. Joe: Retaliation.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Sahara,Sahara.jpg,"['Action', 'Adventure', 'Comedy']"
Final Fantasy: The Spirits Within,Final Fantasy: The Spirits Within.jpg,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Romance', 'Sci-Fi']"
Captain America: The First Avenger,Captain America: The First Avenger.jpg,"['Action', 'Adventure', 'Sci-Fi']"
The World Is Not Enough,The World Is Not Enough.jpg,"['Action', 'Adventure', 'Thriller']"
Master and Commander: The Far Side of the World,Master and Commander: The Far Side of the World.jpg,"['Action', 'Adventure', 'Drama', 'War']"
The Twilight Saga: Breaking Dawn - Part 2,The Twilight Saga: Breaking Dawn - Part 2.jpg,"['Adventure', 'Drama', 'Fantasy', 'Romance']"
Happy Feet Two,Happy Feet Two.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Music', 'Musical', 'Romance']"
The Incredible Hulk,The Incredible Hulk.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Miami Vice,Miami Vice.jpg,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']"
The BFG,The BFG.jpg,"['Adventure', 'Family', 'Fantasy']"
The Revenant,The Revenant.jpg,"['Action', 'Adventure', 'Drama', 'Western']"
Turbo,Turbo.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Sport']"
Rango,Rango.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Western']"
Penguins of Madagascar,Penguins of Madagascar.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Crime', 'Family', 'Sci-Fi']"
The Bourne Ultimatum,The Bourne Ultimatum.jpg,"['Action', 'Mystery', 'Thriller']"
Kung Fu Panda,Kung Fu Panda.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Ant-Man,Ant-Man.jpg,"['Action', 'Comedy', 'Sci-Fi']"
The Hunger Games: Catching Fire,The Hunger Games: Catching Fire.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Home,Home.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
War of the Worlds,War of the Worlds.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Bad Boys II,Bad Boys II.jpg,"['Action', 'Comedy', 'Crime', 'Thriller']"
Puss in Boots,Puss in Boots.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Salt,Salt.jpg,"['Action', 'Thriller']"
Noah,Noah.jpg,"['Action', 'Adventure', 'Drama']"
The Adventures of Tintin,The Adventures of Tintin.jpg,"['Animation', 'Action', 'Adventure', 'Family', 'Mystery']"
Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban.jpg,"['Adventure', 'Family', 'Fantasy', 'Mystery']"
Australia,Australia.jpg,"['Adventure', 'Drama', 'Romance', 'War', 'Western']"
After Earth,After Earth.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Dinosaur,Dinosaur.jpg,"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy']"
Harry Potter and the Deathly Hallows: Part II,Harry Potter and the Deathly Hallows: Part II.jpg,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']"
Night at the Museum: Secret of the Tomb,Night at the Museum: Secret of the Tomb.jpg,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
Megamind,Megamind.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Crime', 'Family', 'Fantasy', 'Sci-Fi']"
Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone.jpg,"['Adventure', 'Family', 'Fantasy']"
R.I.P.D.,R.I.P.D..jpg,"['Action', 'Adventure', 'Comedy', 'Crime', 'Fantasy', 'Sci-Fi']"
Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl.jpg,"['Action', 'Adventure', 'Fantasy']"
Harry Potter and the Deathly Hallows: Part I,Harry Potter and the Deathly Hallows: Part I.jpg,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Mystery', 'Thriller']"
The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay - Part 1.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
The Da Vinci Code,The Da Vinci Code.jpg,"['Mystery', 'Thriller']"
Rio 2,Rio 2.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Music', 'Musical']"
X-Men 2,X-Men 2.jpg,"['Action', 'Sci-Fi', 'Thriller']"
Fast Five,Fast Five.jpg,"['Action', 'Crime', 'Thriller']"
Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows.jpg,"['Action', 'Adventure', 'Mystery']"
Clash of the Titans,Clash of the Titans.jpg,"['Action', 'Adventure', 'Fantasy']"
Total Recall,Total Recall.jpg,"['Action', 'Adventure', 'Sci-Fi']"
The 13th Warrior,The 13th Warrior.jpg,"['Action', 'Adventure', 'History']"
The Bourne Legacy,The Bourne Legacy.jpg,"['Action', 'Adventure', 'Thriller']"
Batman & Robin,Batman & Robin.jpg,"['Action', 'Sci-Fi']"
How the Grinch Stole Christmas,How the Grinch Stole Christmas.jpg,"['Comedy', 'Family', 'Fantasy']"
The Day After Tomorrow,The Day After Tomorrow.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Mission: Impossible II,Mission: Impossible II.jpg,"['Action', 'Adventure', 'Thriller']"
The Perfect Storm,The Perfect Storm.jpg,"['Action', 'Adventure', 'Drama', 'Thriller']"
Fantastic Four: Rise of the Silver Surfer,Fantastic Four: Rise of the Silver Surfer.jpg,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
Life of Pi,Life of Pi.jpg,"['Adventure', 'Drama', 'Fantasy']"
Ghost Rider,Ghost Rider.jpg,"['Action', 'Fantasy', 'Thriller']"
Jason Bourne,Jason Bourne.jpg,"['Action', 'Thriller']"
Charlie's Angels: Full Throttle,Charlie's Angels: Full Throttle.jpg,"['Action', 'Adventure', 'Comedy', 'Crime']"
Prometheus,Prometheus.jpg,"['Adventure', 'Mystery', 'Sci-Fi']"
Stuart Little 2,Stuart Little 2.jpg,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
Elysium,Elysium.jpg,"['Action', 'Drama', 'Sci-Fi', 'Thriller']"
The Chronicles of Riddick,The Chronicles of Riddick.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
RoboCop,RoboCop.jpg,"['Action', 'Crime', 'Sci-Fi', 'Thriller']"
Speed Racer,Speed Racer.jpg,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Sci-Fi', 'Sport']"
How Do You Know,How Do You Know.jpg,"['Comedy', 'Drama', 'Romance']"
Knight and Day,Knight and Day.jpg,"['Action', 'Adventure', 'Comedy']"
Oblivion,Oblivion.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith.jpg,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones.jpg,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
"Monsters, Inc.","Monsters, Inc..jpg","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
The Wolverine,The Wolverine.jpg,"['Action', 'Sci-Fi']"
Star Wars: Episode I - The Phantom Menace,Star Wars: Episode I - The Phantom Menace.jpg,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
The Croods,The Croods.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Asterix at the Olympic Games,Asterix at the Olympic Games.jpg,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
Windtalkers,Windtalkers.jpg,"['Action', 'Drama', 'War']"
The Huntsman: Winter's War,The Huntsman: Winter's War.jpg,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance', 'Sci-Fi', 'War']"
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles.jpg,"['Action', 'Adventure', 'Comedy', 'Crime', 'Fantasy', 'Sci-Fi']"
Gravity,Gravity.jpg,"['Drama', 'Sci-Fi', 'Thriller']"
Dante's Peak,Dante's Peak.jpg,"['Action', 'Adventure', 'Thriller']"
Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles: Out of the Shadows.jpg,"['Action', 'Adventure', 'Comedy', 'Crime', 'Fantasy', 'Sci-Fi']"
Fantastic Four,Fantastic Four.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Night at the Museum,Night at the Museum.jpg,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
San Andreas,San Andreas.jpg,"['Action', 'Adventure', 'Thriller']"
Tomorrow Never Dies,Tomorrow Never Dies.jpg,"['Action', 'Adventure', 'Thriller']"
The Patriot,The Patriot.jpg,"['Action', 'Drama', 'History', 'War']"
Ocean's Twelve,Ocean's Twelve.jpg,"['Crime', 'Thriller']"
Mr. & Mrs. Smith,Mr. & Mrs. Smith.jpg,"['Action', 'Comedy', 'Crime', 'Thriller']"
The Divergent Series: Insurgent,The Divergent Series: Insurgent.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
The Aviator,The Aviator.jpg,"['Biography', 'Drama']"
Gulliver's Travels,Gulliver's Travels.jpg,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
The Green Hornet,The Green Hornet.jpg,"['Action', 'Comedy', 'Crime']"
The A-Team,The A-Team.jpg,"['Action', 'Adventure', 'Crime']"
300: Rise of an Empire,300: Rise of an Empire.jpg,"['Action', 'Drama']"
The Smurfs,The Smurfs.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Home on the Range,Home on the Range.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Musical', 'Western']"
Allegiant,Allegiant.jpg,"['Action', 'Adventure', 'Mystery', 'Sci-Fi', 'Thriller']"
Real Steel,Real Steel.jpg,"['Action', 'Drama', 'Sci-Fi', 'Sport']"
The Smurfs 2,The Smurfs 2.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Speed 2: Cruise Control,Speed 2: Cruise Control.jpg,"['Action', 'Adventure', 'Crime', 'Romance', 'Thriller']"
