title,poster_url,genres
How to Train Your Dragon,movie_posters/How to Train Your Dragon.jpg,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy']"
Terminator 3: Rise of the Machines,movie_posters/Terminator 3: Rise of the Machines.jpg,"['Action', 'Sci-Fi']"
Guardians of the Galaxy,movie_posters/Guardians of the Galaxy.jpg,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
Interstellar,movie_posters/Interstellar.jpg,"['Adventure', 'Drama', 'Sci-Fi']"
Inception,movie_posters/Inception.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Shin Godzilla,movie_posters/Shin Godzilla.jpg,"['Action', 'Drama', 'Horror', 'Sci-Fi']"
The Hobbit: An Unexpected Journey,movie_posters/The Hobbit: An Unexpected Journey.jpg,"['Adventure', 'Fantasy']"
The Fast and the Furious,movie_posters/The Fast and the Furious.jpg,"['Action', 'Crime', 'Thriller']"
The Curious Case of Benjamin Button,movie_posters/The Curious Case of Benjamin Button.jpg,"['Drama', 'Fantasy', 'Romance']"
X-Men: First Class,movie_posters/X-Men: First Class.jpg,"['Action', 'Sci-Fi']"
The Hunger Games: Mockingjay - Part 2,movie_posters/The Hunger Games: Mockingjay - Part 2.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
The Sorcerer's Apprentice,movie_posters/The Sorcerer's Apprentice.jpg,"['Action', 'Adventure', 'Family', 'Fantasy']"
Poseidon,movie_posters/Poseidon.jpg,"['Action', 'Adventure', 'Thriller']"
Alice Through the Looking Glass,movie_posters/Alice Through the Looking Glass.jpg,"['Adventure', 'Family', 'Fantasy', 'Mystery']"
Shrek the Third,movie_posters/Shrek the Third.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']"
Warcraft,movie_posters/Warcraft.jpg,"['Action', 'Adventure', 'Fantasy']"
Terminator Genisys,movie_posters/Terminator Genisys.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
The Chronicles of Narnia: The Voyage of the Dawn Treader,movie_posters/The Chronicles of Narnia: The Voyage of the Dawn Treader.jpg,"['Adventure', 'Family', 'Fantasy']"
Pearl Harbor,movie_posters/Pearl Harbor.jpg,"['Action', 'Drama', 'Romance', 'War']"
Transformers,movie_posters/Transformers.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Alexander,movie_posters/Alexander.jpg,"['Action', 'Biography', 'Drama', 'History', 'War']"
Harry Potter and the Order of the Phoenix,movie_posters/Harry Potter and the Order of the Phoenix.jpg,"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']"
Harry Potter and the Goblet of Fire,movie_posters/Harry Potter and the Goblet of Fire.jpg,"['Adventure', 'Family', 'Fantasy', 'Mystery']"
Hancock,movie_posters/Hancock.jpg,"['Action', 'Comedy', 'Drama', 'Fantasy']"
I Am Legend,movie_posters/I Am Legend.jpg,"['Action', 'Drama', 'Horror', 'Sci-Fi', 'Thriller']"
Charlie and the Chocolate Factory,movie_posters/Charlie and the Chocolate Factory.jpg,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']"
Ratatouille,movie_posters/Ratatouille.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Batman Begins,movie_posters/Batman Begins.jpg,"['Action', 'Crime', 'Drama']"
Madagascar: Escape 2 Africa,movie_posters/Madagascar: Escape 2 Africa.jpg,"['Animation', 'Adventure', 'Comedy', 'Family']"
Night at the Museum: Battle of the Smithsonian,movie_posters/Night at the Museum: Battle of the Smithsonian.jpg,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
X-Men Origins: Wolverine,movie_posters/X-Men Origins: Wolverine.jpg,"['Action', 'Sci-Fi']"
The Matrix Revolutions,movie_posters/The Matrix Revolutions.jpg,"['Action', 'Sci-Fi']"
Frozen,movie_posters/Frozen.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']"
The Matrix Reloaded,movie_posters/The Matrix Reloaded.jpg,"['Action', 'Sci-Fi']"
Thor: The Dark World,movie_posters/Thor: The Dark World.jpg,"['Action', 'Adventure', 'Fantasy']"
Mad Max: Fury Road,movie_posters/Mad Max: Fury Road.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Angels & Demons,movie_posters/Angels & Demons.jpg,"['Action', 'Mystery', 'Thriller']"
Thor,movie_posters/Thor.jpg,"['Action', 'Fantasy']"
Bolt,movie_posters/Bolt.jpg,"['Animation', 'Adventure', 'Comedy', 'Crime', 'Drama', 'Family', 'Sci-Fi']"
G-Force,movie_posters/G-Force.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
Wrath of the Titans,movie_posters/Wrath of the Titans.jpg,"['Action', 'Adventure', 'Fantasy']"
Dark Shadows,movie_posters/Dark Shadows.jpg,"['Comedy', 'Fantasy', 'Horror']"
Mission: Impossible - Rogue Nation,movie_posters/Mission: Impossible - Rogue Nation.jpg,"['Action', 'Adventure', 'Thriller']"
The Wolfman,movie_posters/The Wolfman.jpg,"['Drama', 'Fantasy', 'Horror', 'Thriller']"
Bee Movie,movie_posters/Bee Movie.jpg,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family']"
Kung Fu Panda 2,movie_posters/Kung Fu Panda 2.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']"
The Last Airbender,movie_posters/The Last Airbender.jpg,"['Action', 'Adventure', 'Family', 'Fantasy']"
Mission: Impossible III,movie_posters/Mission: Impossible III.jpg,"['Action', 'Adventure', 'Thriller']"
White House Down,movie_posters/White House Down.jpg,"['Action', 'Drama', 'Thriller']"
Mars Needs Moms,movie_posters/Mars Needs Moms.jpg,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi']"
Flushed Away,movie_posters/Flushed Away.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Romance']"
Pan,movie_posters/Pan.jpg,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Mr. Peabody & Sherman,movie_posters/Mr. Peabody & Sherman.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'History', 'Sci-Fi']"
Troy,movie_posters/Troy.jpg,"['Adventure', 'Drama']"
Madagascar 3: Europe's Most Wanted,movie_posters/Madagascar 3: Europe's Most Wanted.jpg,"['Animation', 'Adventure', 'Comedy', 'Family']"
Die Another Day,movie_posters/Die Another Day.jpg,"['Action', 'Adventure', 'Thriller']"
Ghostbusters,movie_posters/Ghostbusters.jpg,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']"
Armageddon,movie_posters/Armageddon.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Men in Black II,movie_posters/Men in Black II.jpg,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Sci-Fi']"
Beowulf,movie_posters/Beowulf.jpg,"['Animation', 'Action', 'Adventure', 'Fantasy']"
Kung Fu Panda 3,movie_posters/Kung Fu Panda 3.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Mission: Impossible - Ghost Protocol,movie_posters/Mission: Impossible - Ghost Protocol.jpg,"['Action', 'Adventure', 'Thriller']"
Rise of the Guardians,movie_posters/Rise of the Guardians.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']"
Fun with Dick and Jane,movie_posters/Fun with Dick and Jane.jpg,"['Comedy', 'Crime']"
The Last Samurai,movie_posters/The Last Samurai.jpg,"['Action', 'Drama']"
Exodus: Gods and Kings,movie_posters/Exodus: Gods and Kings.jpg,"['Action', 'Adventure', 'Drama', 'Fantasy']"
Star Trek,movie_posters/Star Trek.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Spider-Man,movie_posters/Spider-Man.jpg,"['Action', 'Adventure', 'Sci-Fi']"
How to Train Your Dragon 2,movie_posters/How to Train Your Dragon 2.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Gods of Egypt,movie_posters/Gods of Egypt.jpg,"['Action', 'Adventure', 'Drama', 'Fantasy']"
Stealth,movie_posters/Stealth.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Watchmen,movie_posters/Watchmen.jpg,"['Action', 'Drama', 'Mystery', 'Sci-Fi']"
Lethal Weapon 4,movie_posters/Lethal Weapon 4.jpg,"['Action', 'Crime', 'Thriller']"
Hulk,movie_posters/Hulk.jpg,"['Action', 'Sci-Fi']"
G.I. Joe: Retaliation,movie_posters/G.I. Joe: Retaliation.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Sahara,movie_posters/Sahara.jpg,"['Action', 'Adventure', 'Comedy']"
Final Fantasy: The Spirits Within,movie_posters/Final Fantasy: The Spirits Within.jpg,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Romance', 'Sci-Fi']"
Captain America: The First Avenger,movie_posters/Captain America: The First Avenger.jpg,"['Action', 'Adventure', 'Sci-Fi']"
The World Is Not Enough,movie_posters/The World Is Not Enough.jpg,"['Action', 'Adventure', 'Thriller']"
Master and Commander: The Far Side of the World,movie_posters/Master and Commander: The Far Side of the World.jpg,"['Action', 'Adventure', 'Drama', 'War']"
The Twilight Saga: Breaking Dawn - Part 2,movie_posters/The Twilight Saga: Breaking Dawn - Part 2.jpg,"['Adventure', 'Drama', 'Fantasy', 'Romance']"
Happy Feet Two,movie_posters/Happy Feet Two.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Music', 'Musical', 'Romance']"
The Incredible Hulk,movie_posters/The Incredible Hulk.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Miami Vice,movie_posters/Miami Vice.jpg,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']"
The BFG,movie_posters/The BFG.jpg,"['Adventure', 'Family', 'Fantasy']"
The Revenant,movie_posters/The Revenant.jpg,"['Action', 'Adventure', 'Drama', 'Western']"
Turbo,movie_posters/Turbo.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Sport']"
Rango,movie_posters/Rango.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Western']"
Penguins of Madagascar,movie_posters/Penguins of Madagascar.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Crime', 'Family', 'Sci-Fi']"
The Bourne Ultimatum,movie_posters/The Bourne Ultimatum.jpg,"['Action', 'Mystery', 'Thriller']"
Kung Fu Panda,movie_posters/Kung Fu Panda.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Ant-Man,movie_posters/Ant-Man.jpg,"['Action', 'Comedy', 'Sci-Fi']"
The Hunger Games: Catching Fire,movie_posters/The Hunger Games: Catching Fire.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Home,movie_posters/Home.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
War of the Worlds,movie_posters/War of the Worlds.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Bad Boys II,movie_posters/Bad Boys II.jpg,"['Action', 'Comedy', 'Crime', 'Thriller']"
Puss in Boots,movie_posters/Puss in Boots.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Salt,movie_posters/Salt.jpg,"['Action', 'Thriller']"
Noah,movie_posters/Noah.jpg,"['Action', 'Adventure', 'Drama']"
The Adventures of Tintin,movie_posters/The Adventures of Tintin.jpg,"['Animation', 'Action', 'Adventure', 'Family', 'Mystery']"
Harry Potter and the Prisoner of Azkaban,movie_posters/Harry Potter and the Prisoner of Azkaban.jpg,"['Adventure', 'Family', 'Fantasy', 'Mystery']"
Australia,movie_posters/Australia.jpg,"['Adventure', 'Drama', 'Romance', 'War', 'Western']"
After Earth,movie_posters/After Earth.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Dinosaur,movie_posters/Dinosaur.jpg,"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy']"
Harry Potter and the Deathly Hallows: Part II,movie_posters/Harry Potter and the Deathly Hallows: Part II.jpg,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']"
Night at the Museum: Secret of the Tomb,movie_posters/Night at the Museum: Secret of the Tomb.jpg,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
Megamind,movie_posters/Megamind.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Crime', 'Family', 'Fantasy', 'Sci-Fi']"
Harry Potter and the Sorcerer's Stone,movie_posters/Harry Potter and the Sorcerer's Stone.jpg,"['Adventure', 'Family', 'Fantasy']"
R.I.P.D.,movie_posters/R.I.P.D..jpg,"['Action', 'Adventure', 'Comedy', 'Crime', 'Fantasy', 'Sci-Fi']"
Pirates of the Caribbean: The Curse of the Black Pearl,movie_posters/Pirates of the Caribbean: The Curse of the Black Pearl.jpg,"['Action', 'Adventure', 'Fantasy']"
Harry Potter and the Deathly Hallows: Part I,movie_posters/Harry Potter and the Deathly Hallows: Part I.jpg,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Mystery', 'Thriller']"
The Hunger Games: Mockingjay - Part 1,movie_posters/The Hunger Games: Mockingjay - Part 1.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
The Da Vinci Code,movie_posters/The Da Vinci Code.jpg,"['Mystery', 'Thriller']"
Rio 2,movie_posters/Rio 2.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Music', 'Musical']"
X-Men 2,movie_posters/X-Men 2.jpg,"['Action', 'Sci-Fi', 'Thriller']"
Fast Five,movie_posters/Fast Five.jpg,"['Action', 'Crime', 'Thriller']"
Sherlock Holmes: A Game of Shadows,movie_posters/Sherlock Holmes: A Game of Shadows.jpg,"['Action', 'Adventure', 'Mystery']"
Clash of the Titans,movie_posters/Clash of the Titans.jpg,"['Action', 'Adventure', 'Fantasy']"
Total Recall,movie_posters/Total Recall.jpg,"['Action', 'Adventure', 'Sci-Fi']"
The 13th Warrior,movie_posters/The 13th Warrior.jpg,"['Action', 'Adventure', 'History']"
The Bourne Legacy,movie_posters/The Bourne Legacy.jpg,"['Action', 'Adventure', 'Thriller']"
Batman & Robin,movie_posters/Batman & Robin.jpg,"['Action', 'Sci-Fi']"
How the Grinch Stole Christmas,movie_posters/How the Grinch Stole Christmas.jpg,"['Comedy', 'Family', 'Fantasy']"
The Day After Tomorrow,movie_posters/The Day After Tomorrow.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Mission: Impossible II,movie_posters/Mission: Impossible II.jpg,"['Action', 'Adventure', 'Thriller']"
The Perfect Storm,movie_posters/The Perfect Storm.jpg,"['Action', 'Adventure', 'Drama', 'Thriller']"
Fantastic Four: Rise of the Silver Surfer,movie_posters/Fantastic Four: Rise of the Silver Surfer.jpg,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
Life of Pi,movie_posters/Life of Pi.jpg,"['Adventure', 'Drama', 'Fantasy']"
Ghost Rider,movie_posters/Ghost Rider.jpg,"['Action', 'Fantasy', 'Thriller']"
Jason Bourne,movie_posters/Jason Bourne.jpg,"['Action', 'Thriller']"
Charlie's Angels: Full Throttle,movie_posters/Charlie's Angels: Full Throttle.jpg,"['Action', 'Adventure', 'Comedy', 'Crime']"
Prometheus,movie_posters/Prometheus.jpg,"['Adventure', 'Mystery', 'Sci-Fi']"
Stuart Little 2,movie_posters/Stuart Little 2.jpg,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
Elysium,movie_posters/Elysium.jpg,"['Action', 'Drama', 'Sci-Fi', 'Thriller']"
The Chronicles of Riddick,movie_posters/The Chronicles of Riddick.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
RoboCop,movie_posters/RoboCop.jpg,"['Action', 'Crime', 'Sci-Fi', 'Thriller']"
Speed Racer,movie_posters/Speed Racer.jpg,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Sci-Fi', 'Sport']"
How Do You Know,movie_posters/How Do You Know.jpg,"['Comedy', 'Drama', 'Romance']"
Knight and Day,movie_posters/Knight and Day.jpg,"['Action', 'Adventure', 'Comedy']"
Oblivion,movie_posters/Oblivion.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Star Wars: Episode III - Revenge of the Sith,movie_posters/Star Wars: Episode III - Revenge of the Sith.jpg,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
Star Wars: Episode II - Attack of the Clones,movie_posters/Star Wars: Episode II - Attack of the Clones.jpg,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
"Monsters, Inc.","movie_posters/Monsters, Inc..jpg","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
The Wolverine,movie_posters/The Wolverine.jpg,"['Action', 'Sci-Fi']"
